Identifier	Initial_Time_Signature_0	Initial_Time_Signature_1	Compound_Or_Simple_Meter	Triple_Meter	Quintuple_Meter	Changes_of_Meter	Most_Common_Pitch_Prevalence	Most_Common_Pitch_Class_Prevalence	Relative_Strength_of_Top_Pitches	Relative_Strength_of_Top_Pitch_Classes	Interval_Between_Strongest_Pitches	Interval_Between_Strongest_Pitch_Classes	Number_of_Common_Pitches	Pitch_Variety	Pitch_Class_Variety	Range	Most_Common_Pitch	Primary_Register	Importance_of_Bass_Register	Importance_of_Middle_Register	Importance_of_High_Register	Most_Common_Pitch_Class	Basic_Pitch_Histogram_0	Basic_Pitch_Histogram_1	Basic_Pitch_Histogram_2	Basic_Pitch_Histogram_3	Basic_Pitch_Histogram_4	Basic_Pitch_Histogram_5	Basic_Pitch_Histogram_6	Basic_Pitch_Histogram_7	Basic_Pitch_Histogram_8	Basic_Pitch_Histogram_9	Basic_Pitch_Histogram_10	Basic_Pitch_Histogram_11	Basic_Pitch_Histogram_12	Basic_Pitch_Histogram_13	Basic_Pitch_Histogram_14	Basic_Pitch_Histogram_15	Basic_Pitch_Histogram_16	Basic_Pitch_Histogram_17	Basic_Pitch_Histogram_18	Basic_Pitch_Histogram_19	Basic_Pitch_Histogram_20	Basic_Pitch_Histogram_21	Basic_Pitch_Histogram_22	Basic_Pitch_Histogram_23	Basic_Pitch_Histogram_24	Basic_Pitch_Histogram_25	Basic_Pitch_Histogram_26	Basic_Pitch_Histogram_27	Basic_Pitch_Histogram_28	Basic_Pitch_Histogram_29	Basic_Pitch_Histogram_30	Basic_Pitch_Histogram_31	Basic_Pitch_Histogram_32	Basic_Pitch_Histogram_33	Basic_Pitch_Histogram_34	Basic_Pitch_Histogram_35	Basic_Pitch_Histogram_36	Basic_Pitch_Histogram_37	Basic_Pitch_Histogram_38	Basic_Pitch_Histogram_39	Basic_Pitch_Histogram_40	Basic_Pitch_Histogram_41	Basic_Pitch_Histogram_42	Basic_Pitch_Histogram_43	Basic_Pitch_Histogram_44	Basic_Pitch_Histogram_45	Basic_Pitch_Histogram_46	Basic_Pitch_Histogram_47	Basic_Pitch_Histogram_48	Basic_Pitch_Histogram_49	Basic_Pitch_Histogram_50	Basic_Pitch_Histogram_51	Basic_Pitch_Histogram_52	Basic_Pitch_Histogram_53	Basic_Pitch_Histogram_54	Basic_Pitch_Histogram_55	Basic_Pitch_Histogram_56	Basic_Pitch_Histogram_57	Basic_Pitch_Histogram_58	Basic_Pitch_Histogram_59	Basic_Pitch_Histogram_60	Basic_Pitch_Histogram_61	Basic_Pitch_Histogram_62	Basic_Pitch_Histogram_63	Basic_Pitch_Histogram_64	Basic_Pitch_Histogram_65	Basic_Pitch_Histogram_66	Basic_Pitch_Histogram_67	Basic_Pitch_Histogram_68	Basic_Pitch_Histogram_69	Basic_Pitch_Histogram_70	Basic_Pitch_Histogram_71	Basic_Pitch_Histogram_72	Basic_Pitch_Histogram_73	Basic_Pitch_Histogram_74	Basic_Pitch_Histogram_75	Basic_Pitch_Histogram_76	Basic_Pitch_Histogram_77	Basic_Pitch_Histogram_78	Basic_Pitch_Histogram_79	Basic_Pitch_Histogram_80	Basic_Pitch_Histogram_81	Basic_Pitch_Histogram_82	Basic_Pitch_Histogram_83	Basic_Pitch_Histogram_84	Basic_Pitch_Histogram_85	Basic_Pitch_Histogram_86	Basic_Pitch_Histogram_87	Basic_Pitch_Histogram_88	Basic_Pitch_Histogram_89	Basic_Pitch_Histogram_90	Basic_Pitch_Histogram_91	Basic_Pitch_Histogram_92	Basic_Pitch_Histogram_93	Basic_Pitch_Histogram_94	Basic_Pitch_Histogram_95	Basic_Pitch_Histogram_96	Basic_Pitch_Histogram_97	Basic_Pitch_Histogram_98	Basic_Pitch_Histogram_99	Basic_Pitch_Histogram_100	Basic_Pitch_Histogram_101	Basic_Pitch_Histogram_102	Basic_Pitch_Histogram_103	Basic_Pitch_Histogram_104	Basic_Pitch_Histogram_105	Basic_Pitch_Histogram_106	Basic_Pitch_Histogram_107	Basic_Pitch_Histogram_108	Basic_Pitch_Histogram_109	Basic_Pitch_Histogram_110	Basic_Pitch_Histogram_111	Basic_Pitch_Histogram_112	Basic_Pitch_Histogram_113	Basic_Pitch_Histogram_114	Basic_Pitch_Histogram_115	Basic_Pitch_Histogram_116	Basic_Pitch_Histogram_117	Basic_Pitch_Histogram_118	Basic_Pitch_Histogram_119	Basic_Pitch_Histogram_120	Basic_Pitch_Histogram_121	Basic_Pitch_Histogram_122	Basic_Pitch_Histogram_123	Basic_Pitch_Histogram_124	Basic_Pitch_Histogram_125	Basic_Pitch_Histogram_126	Basic_Pitch_Histogram_127	Pitch_Class_Distribution_0	Pitch_Class_Distribution_1	Pitch_Class_Distribution_2	Pitch_Class_Distribution_3	Pitch_Class_Distribution_4	Pitch_Class_Distribution_5	Pitch_Class_Distribution_6	Pitch_Class_Distribution_7	Pitch_Class_Distribution_8	Pitch_Class_Distribution_9	Pitch_Class_Distribution_10	Pitch_Class_Distribution_11	Fifths_Pitch_Histogram_0	Fifths_Pitch_Histogram_1	Fifths_Pitch_Histogram_2	Fifths_Pitch_Histogram_3	Fifths_Pitch_Histogram_4	Fifths_Pitch_Histogram_5	Fifths_Pitch_Histogram_6	Fifths_Pitch_Histogram_7	Fifths_Pitch_Histogram_8	Fifths_Pitch_Histogram_9	Fifths_Pitch_Histogram_10	Fifths_Pitch_Histogram_11	Region
string	discrete	discrete	discrete	discrete	discrete	discrete	continuous	continuous	continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
meta																																																																																																																																																																															class
essenFolksong/han1-1	2	4	0	0	0	0	0.234375	0.28125	0.933333333333	0.833333333333	3	2	4	8	6	17	0.5625	69.125	0.0	0.71875	0.28125	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.266666666667	0.0	0.2	0.0	0.0666666666667	0.6	0.0	0.933333333333	0.0	0.0	1.0	0.0	0.933333333333	0.0	0.0	0.0	0.0	0.266666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	1.0	0.0	0.166666666667	0.0	0.0555555555556	0.722222222222	0.0	0.777777777778	0.0	0.0	0.833333333333	0.722222222222	1.0	0.777777777778	0.166666666667	0.0	0.0555555555556	0.0	0.0	0.0	0.0	0.0	China
essenFolksong/han1-2	2	4	0	0	0	0	0.245614035088	0.263157894737	0.928571428571	0.933333333333	5	7	4	10	7	17	0.5234375	67.9	0.0	0.842105263158	0.157894736842	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142857142857	0.0	0.142857142857	0.357142857143	0.0	0.5	0.0	1.0	0.0	0.142857142857	0.214285714286	0.0	0.928571428571	0.0	0.214285714286	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.333333333333	0.333333333333	0.0	0.866666666667	0.0	0.933333333333	0.0	0.133333333333	0.2	0.0	1.0	0.933333333333	0.333333333333	0.133333333333	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.2	0.866666666667	China
essenFolksong/han1-3	2	4	0	0	0	0	0.333333333333	0.416666666667	0.625	0.5	5	5	4	7	5	17	0.578125	69.4285714286	0.0	0.583333333333	0.416666666667	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.375	0.0	0.0	0.375	0.0	0.625	0.0	0.125	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.3	0.0	0.0	0.5	0.0	0.5	0.0	0.1	0.0	0.5	1.0	0.5	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	China
essenFolksong/han1-4	2	4	0	0	0	0	0.19512195122	0.317073170732	0.875	0.692307692308	5	7	6	9	5	19	0.5859375	67.5555555556	0.0	0.756097560976	0.243902439024	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.625	0.0	0.625	0.0	0.0	0.75	0.0	0.875	0.0	0.5	0.0	0.0	1.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.461538461538	0.0	0.0	1.0	0.0	0.538461538462	0.0	0.0	0.461538461538	0.0	0.692307692308	0.0	0.461538461538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.461538461538	1.0	0.692307692308	0.538461538462	China
essenFolksong/han1-5	2	4	0	0	0	0	0.25	0.291666666667	0.833333333333	0.857142857143	2	5	5	6	5	12	0.5390625	70.1666666667	0.0	0.75	0.25	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.666666666667	0.0	1.0	0.0	0.833333333333	0.0	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	1.0	0.0	0.0	0.571428571429	0.0	0.857142857143	0.0	0.714285714286	0.0	0.571428571429	0.285714285714	0.857142857143	1.0	0.714285714286	0.0	0.0	0.0	0.0	0.0	0.0	China
essenFolksong/han1-6	2	4	0	0	0	0	0.28	0.28	0.714285714286	1.0	3	2	4	7	5	17	0.5625	71.2857142857	0.0	0.68	0.32	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.714285714286	0.0	0.0	1.0	0.0	0.714285714286	0.0	0.285714285714	0.0	0.0	0.142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.285714285714	0.0	0.0	0.571428571429	0.0	0.714285714286	0.0	0.0	1.0	0.571428571429	1.0	0.714285714286	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	China
essenFolksong/han1-7	2	4	0	0	0	0	0.219512195122	0.268292682927	1.0	0.909090909091	5	5	4	8	5	17	0.5234375	68.25	0.0	0.853658536585	0.146341463415	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.333333333333	0.0	0.0	0.888888888889	0.0	1.0	0.0	0.555555555556	0.0	0.0	1.0	0.0	0.333333333333	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.909090909091	0.0	0.545454545455	0.0	0.0	1.0	0.0	0.818181818182	0.0	0.454545454545	0.0	0.0	0.909090909091	0.818181818182	0.545454545455	0.454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	China
essenFolksong/han1-8	2	4	0	0	0	0	0.346153846154	0.346153846154	0.666666666667	0.666666666667	5	5	4	4	4	10	0.6015625	77.5	0.0	0.230769230769	0.769230769231	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	1.0	0.0	0.555555555556	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	1.0	0.0	0.555555555556	0.0	0.0	0.666666666667	0.0	0.666666666667	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	1.0	China
