"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".F.I"	""	"1"	"1.0"	"1.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"1"	"2.0"	"2.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"V(4)"	""	"2"	"1.0"	"4.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4"	""	false
"V"	""	"2"	"2.0"	"5.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"V43/ii"	""	"2"	"3.0"	"6.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"ii"	false
"ii"	""	"3"	"1.0"	"7.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"ii6"	""	"3"	"2.0"	"8.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V(4)/ii"	""	"4"	"1.0"	"10.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4"	"ii"	false
"V/ii"	""	"4"	"2.0"	"11.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"ii"	false
"V43/iii"	""	"4"	"3.0"	"12.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"iii"	false
"iii"	""	"5"	"1.0"	"13.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"iii"	""	""	""	""	false
"iii6"	""	"5"	"2.0"	"14.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"iii"	""	"6"	""	""	false
"V/iii"	""	"5"	"3.0"	"15.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"iii"	false
"iii"	""	"6"	"1.0"	"16.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"iii"	""	""	""	""	false
"V.V7"	""	"7"	"1.0"	"19.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"V"	""	"V"	""	"7"	""	""	false
"I"	""	"8"	"1.0"	"22.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"V"	""	"I"	""	""	""	""	false
"V7"	""	"9"	"1.0"	"25.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"V"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"10"	"1.0"	"28.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"V"	""	"I"	""	""	""	""	true
".bIII.I"	""	"11"	"1.0"	"31.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"bIII"	""	"I"	""	""	""	""	false
"I6"	""	"11"	"3.0"	"33.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"bIII"	""	"I"	""	"6"	""	""	false
"V64"	""	"12"	"1.0"	"34.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"bIII"	""	"V"	""	"64"	""	""	false
"V43"	""	"12"	"2.0"	"35.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"bIII"	""	"V"	""	"43"	""	""	false
